title,Company_name,location,job_detail,content
Openshift Engineer,Capgemini,"Toronto, ON","Job type
Fixed term contract","Duration: 6+ months

Requirements

Experience and advanced knowledge of Red Hat OpenShift or underlying components like Kubernetes and Docker with CI and continuous delivery (CD) systems
Applied knowledge of modern software delivery methods and tools like test-driven development (TDD), domain-driven design (DDD), 12 Factor App, DevSecOps, and CI or CD, e.g., with Jenkins, Tekton, etc.
Experience implementing system infrastructure and cloud solutions, including data storage, networking, monitoring, and security

The Capgemini Freelancer Gateway is enabled by a cutting-edge software platform that leads the contingent labor world for technology innovation. The software platform leverages Machine Learning and Artificial Intelligence to make sure the right people end up in the right job.

A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion"
Business Intelligence Engineer,Amazon Dev Centre Canada ULC,"Toronto, ON","Job type
Full-time","3+ years of experience as a Business Intelligence Engineer or in a similar role.
Experience with data modeling, data warehousing, and building ETL pipelines.
Experience with visualization tools (Quicksight, Tableau, etc).
Bachelor's degree in Computer Science, Engineering, Mathematics, or a related technical discipline.
Hands-on experience and advanced knowledge of SQL and Python (or any scripting languages).
Experience defining and driving a BI roadmap.

Job summary
Want to work on one of Amazon’s fastest growing advertising businesses? We are looking for a self-motivated Business Intelligence Engineer to provide proactive insights and create self-service tools to anchor worldwide decision making. If you love working in a fast-paced environment and want a role that will give you a chance to create your roadmap, solve challenging problems and guide strategic decisions to support a business in hyper-growth phase, then this job is for you!

Open to hire in Seattle, Toronto or New York.

About Amazon Ads
Amazon Ads helps brands create experiences that delight customers and deliver meaningful results. With 300+ million worldwide active customer accounts, and first-party insights based on shopping, streaming and browsing signals, brands can craft relevant campaigns that enhance customer experiences. Our solutions on Amazon.com, services like Twitch, IMDb TV, Alexa, Amazon Music, and partnerships with third-party publishers and exchanges make Amazon Ads the ultimate amplifier for brands to reach the right audiences in the right places, both on and off Amazon.

About our team
Sponsored Display is Amazon’s first self-service display advertising offering. It empowers any advertiser – regardless of budget size, advertising experience, or technical expertise – to set up display campaigns that show ads on key placements across Amazon retail website and apps, devices (Kindle, Fire Tablet, Fire TV, Echo), third-party websites and mobile apps.

Our team is responsible for building and taking this startup offering to market, with the goal of empowering millions of advertisers to independently plan and execute campaigns. We move quickly to release new features, utilize innovative machine learning models and deliver billions of ad impressions across the globe every single day, all within tens of milliseconds, enabling advertisers to discover and engage audiences throughout their shopping and entertainment journeys.

About this role
As a Business Intelligence Engineer in this role, you will lead efforts to define key business metrics, design and implement scalable BI solutions, and maintain and improve existing dashboards and reports. This role will support and drive impact across all levels and teams throughout the Sponsored Display and partner organizations.

The ideal candidate will be highly analytical, resourceful, customer-focused, and collaborative. They will have a strong understanding of the business and the ability to translate business requirements into analysis, collect and analyze data, and make recommendations back to the business. The candidate for this role will be required to continuously learn new systems, tools, and industry best practices to help design new studies and build new tools that help our team automate and accelerate analytics.

Core responsibilities include:
Engage with leadership and diversified customer groups to understand the needs and recommend business intelligence solutions.
Partner with Data engineering team to define the data elements and data structure that the team should leverage to enable capabilities.
Design, implement, and support platforms that provide business teams ad-hoc access to large datasets (e.g. data visualization tools for non-tech business users)
Interface with business customers, gathering requirements and delivering complete reporting solutions.
Own the design, development, and maintenance of ongoing metrics, reports, analyses, dashboards, etc. to drive key business decisions.
Participate in strategic & tactical planning discussions.
Standardize data and report consumption across all customer groups.
Make recommendations for new metrics, techniques, and strategies to improve the operational and quality metrics.

#adptjobs #adpt

Master’s degree in BI, Finance, Engineering, Statistics, Computer Science, Mathematics, Finance or related field required.
3+ years in relevant experience as data scientist, data engineer, software engineer, business intelligence engineer, or equivalent.
Experience in data mining, SQL, ETL, etc. and using databases in a business environment with large-scale, complex datasets.
Analyst in a company with large, complex data sources and cross functional collaboration.
Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets
Expert-level proficiency in writing complex, highly-optimized SQL queries across large datasets.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter."
Machine Learning Product Engineer (Layer 6),TD Bank,"Toronto, ON","Job type
Full-time","TD Description
Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.
Stay current and competitive. Carve out a career for yourself. Grow with us.
Department Overview
Layer 6 is a leading Canadian machine learning applied research company, a fully owned subsidiary of TD Bank Group. Layer 6 develops advanced machine learning and deep learning systems that have the power to uplift large populations while advancing the field of artificial intelligence. Our research is supported by access to massive datasets, close collaboration with world renowned academic faculty, and a uniquely scalable machine learning platform.

Our technical capabilities have been publicly recognized through a number of wins in various international machine learning competitions, including the prestigious ACM RecSys Challenge (the only repeat winner in 2017 and 2018 and runner-up in 2019), Google’s Landmark Retrieval Challenge (2nd place in 2018, 3rd place in 2019), the Stanford Question Answering Dataset (2nd place in 2019), 3rd YouTube-8M Video Understanding Challenge (winner in 2019) and Open Images 2019 - Visual Relationship (winner in 2019).
Job Description
Develops and maintains technical solutions that adhere to engineering and architectural design principles while meeting business requirements. Provides technical expertise with a focus on efficiency, reliability, scalability, and security; includes planning, evaluating, recommending, designing, operationalizing, and supporting solutions in compliance with enterprise and industry standards.

Customer Accountabilities:
Leverage deep technology expertise for own area of specialization to deliver and ensure that all areas across the organization that provision, manage and support various technologies have the necessary tools, processes and documentation required to effectively execute on their respective mandates
Execute on Engineering strategy as it relates to the introduction of tools and the automation of build, test, release and configure activities across Application, Platform and Infrastructure
Partner with the Operations team to automatically integrate with appropriate tools and processes as part of automated/self-serve Application, Platform or Infrastructure releases
Work with partners across Technology and apply in-depth understanding of relevant business needs to identify and leverage synergies across the various areas
Act as the expert or lead innovator and agent of change for the programs and services under management
Work with other teams to implement best practices for engineering and management
Work with vendor platform providers and engineering peers to keep abreast of trends, products, frameworks, and applications
Identify and effectively manage stakeholder engagement and impacts across the enterprise
Interpret client needs, assess engineering related requirements and identify solutions to non-standard requests

Shareholder Accountabilities:
Apply best practices and knowledge of internal / external business issues to improve products or services in own discipline
Monitor and control costs within own work
May interact with governance and control groups, (e.g. regulatory / operational risk, compliance and audit) to provide subject matter expertise and consult on risk issues / items related to Engineering technology and tools
May develop and/or contribute to negotiations of third party contracts/agreements
Maintain knowledge and understanding of external development, engineering and emerging solutions, market conditions and their impact
Proactively identify emerging technologies and innovative solutions for building more robust platform domains
The Machine Learning Product Engineer team at Layer 6 focuses on building industry-leading data-centric systems and model delivery systems. Our solutions include data pipelines, feature data lake, systemic data validation and automation of key activities in model delivery including model validation, shakedown, inference, and maintenance.
We are looking for experienced Machine Learning Product Engineers (MLPE) who have worked under tight deadlines and on challenging tasks. The ideal candidate is a strong coder with solid data engineering experience. They should also have expertise in machine learning, system design and devops.
The candidate will design and implement components of data and model delivery system and lead by example. The candidate will interact with machine learning scientists, the infrastructure team and data sources team to develop systems that will satisfy the needs of machine learning projects
Implement complex data-centric solutions, including extremely complex and large data set verification, transformation and feature generation, to ensure continuous high-quality input for the model development
Build model delivery systems, including inference pipeline, automatic model validation reports generation, automatic model performance monitoring and model retraining, to ensure fast model productionization and reliable production system
Maintain the model in production and ensure the data/model related knowledge continuation within L6
Job Requirements
Employee/Team Accountabilities:
Continuously enhance knowledge/expertise in own area and keep current with emerging industry trends, new technologies and best practices in the external market that can contribute to delivering effective client solutions
Prioritize and manage own workload in order to deliver quality results and meet timelines
Support a positive work environment that promotes service to the business, quality, innovation and teamwork and ensure timely communication of issues/ points of interest
Participate in knowledge transfer with senior management, the team, other technical areas and business units
Work effectively as a team, supporting other members of the team in achieving business objectives and providing client services
Identify and recommend opportunities to enhance productivity, effectiveness and operational efficiency of the business unit and/or team

Breadth and Depth:
Expert knowledge of specific domain or range of engineering frameworks, technology, tools, processes and procedures, as well as organization issues
Expert knowledge of TD applications, systems, networks, innovation, design activities, best practices, business / organization, Bank standards, and may fulfill a governance role
Expert knowledge and experience in own discipline; integrates knowledge of business and functional priorities
Acts as a key contributor in a complex and critical environment
May provide leadership to teams or projects; shares expertise
Applies in-depth skills and broad knowledge of the business to address complex problems and non-standard situations
Generally reports to a Senior Manager or above

Experience and/or Education:
University or post-graduate degree
Strong academic background (e.g., computer science, engineering)
7 + years relevant experience
Inclusiveness
At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs.
Job Family
Advanced Analytics & Modelling
Job Category - Primary
Enterprise Data & Analytics
Job Category(s)
Enterprise Data & Analytics
Hours
37.5
Business Line
Corporate
Time Type
Full Time
Employment Type
Regular
Country
Canada
**Province/State (Primary)
Ontario
City (Primary)
Toronto
Work Location
TD Centre - North - 77 King Street West
Job Expires
17-Jul-2022"
Sr. Machine Learning Engineer,407 ETR,"Woodbridge, ON","Job type
Full-time","Position Summary:
The incumbent will follow a mandate and strategy for analytics and data at 407 and will be responsible to develop data modeling elements and automation pipelines on the analytics platform that will power insights to verticals to make informed decisions with data. The role is also responsible for developing machine learning models that can identify and aid in the process of automation and insights around pricing, promotions and digital marketing.
Position Responsibility:
Develop machine learning models and automation pipelines that can be used to make targeted promotions and digital marketing at an individual or group level.
Develop and maintain AWS elements used to automate data science models and insights dashboards.
Develop i/o pipelines to retrieve data from mobile app, apply machine learning algorithms, and return new insights back to app.
Build infrastructure elements required to transform data and validate quality from upstream IT infrastructure.
Develop code in python to write serverless functions to automate the data flow as per existing architecture.
Being able to initiate and coordinate discussion with vendors and engage the required participants leading to delivery.
Develop partnerships with data, IT security, Cloud infrastructure and other teams at 407 to ensure timely execution of responsibilities for data science projects.
Responsible for timely execution of engineering and automation projects in fast paced environment.
Strong understanding of basic data science principles.
Qualifications:
Minimum of a Bachelor’s degree in Mathematics, Computer Science, engineering or related degree and 3 years of relevant experience including management or leadership experience.
Strong leadership skills to move the organization through change and drive to succeed and identify and solve potential obstacles.
knowledge of ETL processes and databases including but not limited to redshift.
knowledge of serverless ecosystem on AWS and its advantages and disadvantages.
Experience with data pipeline and workflow management tools like AWS Step functions, Airflow.
Experience integrating and maintaining data bricks or like solutions.
Pushing machine learning models to and from mobile application.
Experience with AWS cloud services: Redshift, Lambda, Glue (ETL tooling).
Experience with data optimization and compression techniques like parquet, Avro, gzip, snappy.
Strong project management and organizational skills.
Experience with big data tools: Spark, Hadoop, etc.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Note: This job description is not intended to be all-inclusive. Employee may perform other related duties as negotiated to meet the ongoing needs of the organization.
Accommodations for disabilities or other grounds protected by human rights legislation are available upon request for candidates taking part in all aspects of the employment selection process.
Job Type: Full-time"
Electrical Engineer,HELPWEAR,"Toronto, ON","Job type
Full-time","A viable candidate will contribute to development, reiteration and testing the HeartWatch System closely with the engineering team. This includes comparison testing existing solutions, innovating ways to improve sensor quality and working with the implementation of the novel sensor developed in-house for the HelpWear system. The candidate will also be a core member of the design and engineering team, where they will help address problems in both areas.
Things That You Might Need to Know
Signals Processing on matlab

Algorithm implementation and development

Machine Learning Models and Knowledge

C coding language for firmware development

Java/Android for in app implementation

PCB designing and layouts
Things You Must Learn
Operations of a ECG

Operations of a Capacitive ECG electrode

Documentation structure

Bench testing and key test points to identify"
Senior Applied Machine Learning Specialist,Vector Institute,"Toronto, ON","Application Details
Cover letter","POSITION OVERVIEW
As a Senior Applied ML Specialist, you will contribute to developing reusable software to apply and scale research breakthroughs in machine learning and AI. You will collaborate with some of the best and brightest ML engineers and data scientists at Vector and leading industry and healthcare organizations. You will also collaborate with some of the best and brightest machine learning researchers.

RESPONSIBILITIES

Deliver software and models for AI development projects following an agile methodology with teams that can include Vector Applied ML specialists, Applied ML scientists, professional staff, researchers, students and sponsors
Design and develop reference applications and model templates that apply AI research to real-world problems using public and private data sets, providing software for training, testing, operating and updating models
Design, develop and contribute to open source software that applying AI research techniques to common problems
Lead and support Associate ML Specialists in ML projects through requirements scoping, delegation of tasks, model validation, and advisory on implementation-related issues
Mentor sponsor engineers and student researchers on industry collaboration projects that apply AI research to shared problems, mentoring on engineering best practices, and assisting with operational issues
Develop prototypes and proofs of concept
Report and present software development outcomes for team efforts including demos, status and results

REQUIREMENTS

Master's degree in computer science, mathematics, electrical engineering, or related discipline;
Experience applying machine learning research to novel problems and data sets
Demonstrated experience in machine learning and/or statistics
Demonstrated data engineering background working with messy real-world data
Demonstrated analytical skills to identify signal in data and feasibility of prediction
Knowledge and experience of Python and preferably C/C++ and C#
Software engineering background with experience in production deployment is preferred
Experience working on teams that land high quality software successfully in production is preferred
Experience with parameter and architecture tuning of deep learning algorithms is preferred
Experience in leading open-source deep learning software frameworks (PyTorch, Tensorflow, and CUDA) is preferred
User interaction/design expertise with Human-Computer Interaction (HCI) engineering considered an asset
Candidates with more than two years of work experience are preferred

HOW TO APPLY

Please address applications (cover letter and resume) to Richard Haldane, Talent Acquisition Specialist, using the link provided. The deadline for submission is June 28, 2022.

At the Vector Institute we are committed to driving excellence and leadership in Canada’s knowledge, creation, and use of AI to foster economic growth and improve the lives of Canadians. We strive for greater inclusion in the programs and culture that we build by welcoming and encouraging applications from all qualified candidates. This includes but is not limited to applicants who are indigenous, LGBT2Q+, racialized persons/visible minorities, women, and people with disabilities.

If you require an accommodation at any point throughout the recruitment and selection process, please contact hr@vectorinstitute.ai and we will happily work with you to meet your needs."
Automation Engineer (Remote Optional),Basis Technologies,"Toronto, ON","Application Details
Cover letter","WHO WE ARE

Basis Technologies delivers software and services to automate digital media operations for more than 1,000 leading agencies and brands.

Our comprehensive ad tech platform, Basis, supports the planning, reporting, and financial reconciliation of direct, programmatic, search, and social media, all in one place.

We are deeply committed to building software that will change the ad tech industry for the better and are equally dedicated to building an inclusive culture of highly motivated individuals who create a positive and supportive environment together. We invest in our culture and support our employees so they can do their best work.

Basis Technologies is headquartered in Chicago, with beautiful offices also in Toronto, Dallas, Denver, and New York to name a few. Our employees have the flexibility to work in one of our office locations, completely remote, or a hybrid of the two. Please note, we are hiring on a remote working basis only in the U.S. and Canada.

ABOUT THE TEAM

Technology is at the core of what we do. Basis Technologies innovative Engineering team designs and develops new features and integrations for Basis, our industry-leading, comprehensive software solution. Our platform processes over 300 billion events per day and uses AI and machine learning to automate and simplify the entire digital campaign process. This team is all about data—and in order to create value from the massive amount of data we collect, engineering leverages their dynamic Data Engineering, Data Science, and Business Intelligence teams to create insights that benefit the industry as a whole.

WAYS YOU’LL CONTRIBUTE

This role has a strong emphasis on writing and maintaining automated acceptance/regression tests against a web application developed. Other ways you will contribute to the team are by:
WHAT YOU BRING TO THE TABLE
Good understanding of computer science fundamentals
OO development, data-structures, SQL
Experience with TDD & BDD
Understanding of web-apps architecture design and reviewing for testability constraints
Good coding skills and experience in Java
Experience with UI automation, Selenium Webdriver, Cucumber, Page Object Model, Unit Test frameworks
Experience in API testing
Experience with one or more dynamic languages like Python and Ruby
Experience with build/project management tools (Jenkins)
Understanding of Agile SDLC
BONUS POINTS
Bachelor's degree in Computer Science, Engineering or related field
Experience with entire development cycle of projects
Excited by a fast-paced product development environment
Passion for Ad-Tech
OUR TECH STACK
Ruby, Java, Python, and React.js
Kubernetes, Docker, Kafka
PostgreSQL, NoSQL
AWS
#BI-Remote
#LI-Remote
#LI-Hybrid

ANYTHING ELSE?

Don't think you have all the skills required for this role? That's okay, we recognize that experience can be built in many ways. If you have relevant skills that are not reflected in your resume, we welcome your candidacy and encourage you to share more in an optional cover letter, even if your experience doesn’t match our exact requirements.

LIFE WITH BASIS TECHNOLOGIES

We take care of our people and believe that our success depends on the growth and well-being of each one of our team members.

We provide a thoughtful perks and benefits package including competitive 401k/RRSP matching, mental health support, a funded health savings account, paid sabbatical, generous parental leave, a flexible work environment and time off policy, and more.

We are proud to be an equal opportunity employer are committed to building teams that are diverse in thought, perspective, and culture. We celebrate all team members regardless of gender identity, sexual orientation, race or cultural background, religion, disability, and age. Our employee-led communities enrich our culture of uniqueness, inclusivity, and empowerment."
Machine Learning Engineer,KUBRA,"Greater Toronto Area, ON","Job type
Full-time","Overview:
KUBRA is in growth mode and currently seeking a Machine Learning Engineer to join our Data Analytics Team!

As a Machine Learning Engineer, you will be working on designing and maintaining the Machine Learning algorithms that will be used to extract value out of our data. The crème de la crème? You will also be collaborating with BI Analysts, and Data Engineers to introduce new data on machine learning standards and best practices with KUBRA!

KUBRA's hiring efforts will continue during the COVID-19 pandemic. Any face-to-face stages of our interview process will be virtual via video conference.
What you get to do every day:
Introduce machine learning standards and best practices to KUBRA.
Build scalable machine learning architecture and automate machine learning operations.
Offer data-driven insights that provide value to both internal and external customers.
Foster an environment that emphasizes trust, open communication, creative thinking, and cohesive team effort.
Build and maintain machine learning solutions in production.
The initial models may be against data in our on-premise infrastructure. As the data engineers migrate more of our data to AWS, the ML model will be against data in AWS.
What kind of person should you be?:
Excellent written and verbal communication skills and an ability to maintain a high degree of professionalism in all client communications.
Ability to influence others, build relationships, manage conflicts, and handle negotiations.
Excellent organization, time management, problem-solving, and analytical skills.
Proactive mindset and ability to work independently in a fast-paced environment focused on results.
Ability to handle pressure.
What skills do you need?:
Minimum of 2 to 3 years of experience building machine learning pipelines.
An undergraduate or masters degree in Computer Science, Statistics, Analytics, or a similar discipline
Sound knowledge of machine learning lifecycle from data gathering to model deployment.
Experience deploying machine learning models into a production environment.
Demonstrable experience with regression, clustering, and classification algorithms.
Preferable to have experience with one or more of Data tools, Databricks, Snowflake, SQL, R, Python, Spark.
Knowledge in one of AzureML or AWS Sagemaker desirable.
Experience in CI/CD and good understanding of containerization concepts.
Experience in building API’s for Model Serving is an asset.
What can you expect from us?:
Award-winning culture that fosters growth, diversity and inclusion for all
Paid day off for your birthday
Access to LinkedIn learning courses
Continued education with our education reimbursement program
Flexible schedules
Two paid days for volunteer opportunities
Well-Being Days!

KUBRA is a fast-growing company that delivers customer communications solutions to some of the largest utility, insurance, and government entities across North America. KUBRA offers billing and payments, mapping, mobile apps, proactive communications, and artificial intelligence solutions for customers. With more than 1.5 billion customer interactions annually, KUBRA services reach over 40% of households in the U.S. and Canada. KUBRA is an operating subsidiary of Hearst.
Our office is small enough to allow creative individuals to flourish, yet large enough to provide long-term stability. We place a tremendous amount of responsibility on our team members to be productive, focused and self-motivated. We offer a casual work environment, competitive compensation and a stellar benefits program.

KUBRA is an equal opportunity employer dedicated to building an inclusive and diverse workforce. We will provide accommodations during the recruitment process upon request by emailing the recruitment-team@kubra.com. Information received relating to accommodation will be addressed confidentially. We thank all applicants for their interest; however, only candidates under consideration will be contacted."
Sr. Engineer - Machine Learning Software,Qcom,"Markham, ON","Job type
Full-time","Company:
Qualcomm Canada ULC
Job Area:
Engineering Group, Engineering Group > Machine Learning Engineering
General Summary:
General Summary
AI’s ability to solve complex problems across multiple domains is transformative. Here in the machine learning software group. we are building highly optimized on-device AI solutions. We combine high performance software with cutting edge hardware to run deep neural nets with that little computer you keep in your pocket, that car you drive, or that vacuum cleaner you unleash to clean your house. Come join us if you want to work on bleeding edge AI technology. In this position you will build high performance software for AI engines which include Snapdragon Neural Processing Engine, Android NN, and Tensorflow Lite delegate. We develop new tools and SDKs to extend our AI solutions into industry leading customer use cases.
Responsibilities
Development of optimization algorithms for ML operators/layers for the Qualcomm AI SW stack
Development of AI SW stack framework enhancements for optimal resource usage while running a neural network on Qualcomm hardware
Development of software tools for profiling, and debugging to support rapid deployment of new neural networks in this fast-changing field
Evaluating and optimizing neural networks runtime performance and accuracy
Working with customer teams to enable state of the art network models and new AI SW features to meet customer use-cases
Collaborating with AI Hardware and architecture teams to continuously improve our AI solution
Being an active contributor to the development process to ensure commercial quality software releases
Minimum Qualifications:
Bachelor's degree in Computer Science, Engineering, Information Systems, or related field and 2+ years of Hardware Engineering, Software Engineering, Systems Engineering, or related work experience.
OR
Master's degree in Computer Science, Engineering, Information Systems, or related field and 1+ years of Hardware Engineering, Software Engineering, Systems Engineering, or related work experience.
OR
PhD in Computer Science, Engineering, Information Systems, or related field.
Ideal candidates will demonstrate the following:
2-3 years’ software development industry experience
2+ years software engineering, hardware engineering, systems engineering, or related work experience
Live and breathe software development with excellent programming capability and analytical, development, and debugging skills
Curiosity and willingness to continually learn new things and propose new ideas.
Industry experience with C/C++,
Some experience with Python and Git
Bachelor's Computer Science, Computer Engineering, or Electrical Engineering
Android or embedded Linux software development
Optimizing algorithms for hardware acceleration cores using OpenCL, OpenGL ES, and / or DSPs
Experience with Python numpy and deep learning frameworks such as Caffe, Caffe, TensorFlow, PyTorch
Background in mathematical operations: linear algebra, fast math libraries, multi-threading and vector instruction sets
Excellent communication skills (verbal, presentation, written)
Ability to collaborate across a globally diverse team and multiple interests

Qualcomm is committed to hiring and supporting individuals with disabilities. Although this role has some expected physical activity, an inability to perform one or more of the listed physical requirements should not deter otherwise qualified applicants from applying. We will work with you throughout the application and onboarding process to provide reasonable accommodations. Examples of expected physical activity include: frequently transporting between offices, buildings, and campuses up to ½ mile; frequently transporting and installing equipment up to 5 lbs.; performing tasks at various heights (e.g., standing or sitting); monitoring and utilizing computers and test equipment for more than 6 hours a day; and continuous communication which includes the comprehension of information with colleagues, customers, and vendors both in person and remotely.
Applicants: If you need an accommodation, during the application/hiring process, you may request an accommodation by sending email to
accommodationsupport
To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.
If you would like more information about this role, please contact
Qualcomm Careers
."
Jnr. Cloud Engineer,State Street,"Toronto, ON","Job type
Full-time","Who we are
Although not a household name, State Street is one of the world’s largest and most important financial services institutions, providing round-the-clock services to the global investment community. We touch $39 trillion in assets every day and are the world’s third largest investment manager with over $3.5 trillion in assets under management. To do this we manage as much data as one of the internet giants on nearly as large a technical footprint.
Recently we launched one of the industry’s largest technical transformation projects, in effect building a new bank from the ground up. This project isn’t greenfield in the way most banks claim projects are; we’ve started with a blank sheet of paper both operationally and technically. We’re using the same technologies that Silicon Valley giants are using: use of multiple public clouds, building our own private cloud to achieve even better performance, transforming our industry through distributed ledger technology and machine learning.
This isn’t a traditional banking role. This is a chance to push your technical skills with people more comfortable in a technology firm than an investment bank, though solving real problems that affect anyone with any form of savings worldwide (not just trying to get people to click on ads).
What you will do:
As a cloud engineer, you will deploy solutions in the public cloud (e.g., AWS) using configuration provisioning and management tools (e.g., AWS CloudFormation, Python APIs). You are required to design configuration templates that are used to provision infrastructure components (i.e., EC2, RDS, EMR, Lambda etc.) in a scalable manner. Once in production your role is key to ensuring that solutions are performant and operational SLAs are maintained.
Develop applications (the ‘thread or if you prefer ‘duct tape’) that enable business and operational requirements using cloud provider services (‘fabric’ or ‘lego pieces’)
Make concepts ‘real’ by telling enterprise architects how things really work versus what they may have seen in a vendor demo
Avoid 2am production issues by building scalable and resilient (‘works the first time’) applications running globally
Make things better by pointing out redundancies and manual steps best handled via your code
Who you are:
Smart and prefer to have other fork your git repos (versus forking some open source project to show commit counts)
Experience using languages in vogue this decade (e.g., Python, Go, Groovy)
Aware of how cloud-centric architectures and technical standards differ from something that runs on a Windows server
Understand what are trade-offs in design and development (e.g., perennial issues around cache validation)
Bachelor’s degree in Computer Science, Computer Engineering
Bonus Points:
Graduate degree in Computer Engineering / Computer Science
GPA higher than the average in relevant subjects and in the last two academic years (if not throughout)
Prior experiences / internships with exposure to developing large scale applications
Have written apps using AWS services (a bit more than EC2 is always welcome)
About State Street
Across the globe, institutional investors rely on us to help them manage risk, respond to challenges, and drive performance and profitability. We keep our clients at the heart of everything we do, and smart, engaged employees are essential to our continued success.
Our promise to maintain an environment where every employee feels valued and able to meet their full potential infuses our company values. It’s also part of our commitment to inclusion, development and engagement, and corporate social responsibility. You’ll have tools to help balance your professional and personal life, paid volunteer days, and access to employee networks that help you stay connected to what matters to you. Join us.
State Street is an Affirmative Action/ Equal Opportunity Employer/Vet/Disability."
